cms_omds_lb.CMS_BEAM_COND.CMS_BRIL_LUMIPLTZ.LUMI_TOTINST,,,
4254,,,
ROW,WEIGHT,DIPTIME,LUMI_TOTINST
1,1,1469475803,11320.873
2,1,1469475805,11322.127
3,1,1469475806,11315.487
4,1,1469475808,11308.986
5,1,1469475809,11299.144
6,1,1469475811,11301.826
7,1,1469475812,11312.488
8,1,1469475814,11310.344
9,1,1469475815,11302.788
10,1,1469475816,11305.463
11,1,1469475818,11299.316
12,1,1469475819,11300.427
13,1,1469475821,11297.468
14,1,1469475822,11293.124
15,1,1469475824,11295.015
16,1,1469475825,11292.876
17,1,1469475827,11295.815
18,1,1469475828,11298.411
19,1,1469475830,11294.367
20,1,1469475831,11298.793
21,1,1469475832,11299.079
22,1,1469475834,11299.225
23,1,1469475835,11298.788
24,1,1469475837,11298.377
25,1,1469475838,11299.41
26,1,1469475840,11298.654
27,1,1469475841,11308.886
28,1,1469475843,11319.819
29,1,1469475844,11326.643
30,1,1469475846,11328.2
31,1,1469475847,11319.984
32,1,1469475849,11311.554
33,1,1469475850,11307.717
34,1,1469475851,11305.707
35,1,1469475853,11310.794
36,1,1469475854,11321.491
37,1,1469475856,11320.171
38,1,1469475857,11317.996
39,1,1469475859,11315.239
40,1,1469475860,11312.761
41,1,1469475862,11308.044
42,1,1469475863,11302.589
43,1,1469475865,11305.203
44,1,1469475866,11304.089
45,1,1469475867,11305.3955
46,1,1469475869,11307.794
47,1,1469475870,11300.495
48,1,1469475872,11303.076
49,1,1469475873,11302.858
50,1,1469475875,11300.378
51,1,1469475876,11300.4
52,1,1469475878,11299.648
53,1,1469475879,11298.977
54,1,1469475881,11296.528
55,1,1469475882,11296.644
56,1,1469475883,11294.443
57,1,1469475885,11298.165
58,1,1469475886,11293.4
59,1,1469475888,11294.713
60,1,1469475889,11293.548
61,1,1469475891,11287.621
62,1,1469475892,11287.77
63,1,1469475894,11289.82
64,1,1469475895,11290.271
65,1,1469475897,11289.905
66,1,1469475898,11289.132
67,1,1469475899,11287.457
68,1,1469475901,11289.004
69,1,1469475902,11286.09
70,1,1469475904,11289.846
71,1,1469475905,11290.097
72,1,1469475907,11287.457
73,1,1469475908,11288.631
74,1,1469475910,11286.142
75,1,1469475911,11288.082
76,1,1469475913,11288.353
77,1,1469475914,11286.585
78,1,1469475916,11287.112
79,1,1469475917,11285.792
80,1,1469475918,11283.796
81,1,1469475920,11287.248
82,1,1469475921,11287.797
83,1,1469475923,11287.236
84,1,1469475924,11283.96
85,1,1469475926,11288.937
86,1,1469475927,11283.979
87,1,1469475929,11284.874
88,1,1469475930,11282.389
89,1,1469475932,11287.0205
90,1,1469475933,10950.417
91,1,1469475934,8763.141
92,1,1469475936,5350.392
93,1,1469475937,3331.5576
94,1,1469475939,2959.6714
95,1,1469475940,2976.1897
96,1,1469475942,2964.912
97,1,1469475943,2966.8044
98,1,1469475945,2978.0117
99,1,1469475946,2960.3528
100,1,1469475948,2963.9434
101,1,1469475949,2963.389
102,1,1469475950,2973.8142
103,1,1469475952,2975.227
104,1,1469475953,3317.2334
105,1,1469475955,4793.9
106,1,1469475956,6066.9185
107,1,1469475958,6232.268
108,1,1469475959,6233.924
109,1,1469475961,6221.055
110,1,1469475962,6227.9575
111,1,1469475964,6246.43
112,1,1469475965,6227.658
113,1,1469475967,6220.33
114,1,1469475968,6239.103
115,1,1469475969,6228.23
116,1,1469475971,6337.2993
117,1,1469475972,7588.04
118,1,1469475974,9277.901
119,1,1469475975,9728.796
120,1,1469475977,9728.502
121,1,1469475978,9744.33
122,1,1469475980,9761.101
123,1,1469475981,9747.611
124,1,1469475983,9749.622
125,1,1469475984,9747.124
126,1,1469475985,9750.479
127,1,1469475987,9759.437
128,1,1469475988,9753.215
129,1,1469475990,10011.601
130,1,1469475991,10944.535
131,1,1469475993,11260.254
132,1,1469475994,11263.777
133,1,1469475996,11267.476
134,1,1469475997,11264.53
135,1,1469475999,11269.189
136,1,1469476000,11268.545
137,1,1469476001,11264.542
138,1,1469476003,11265.67
139,1,1469476004,11264.867
140,1,1469476006,11264.622
141,1,1469476007,11264.444
142,1,1469476009,11018.71
143,1,1469476010,10008.452
144,1,1469476012,9413.343
145,1,1469476013,9419.152
146,1,1469476015,9423.16
147,1,1469476016,9412.161
148,1,1469476018,9425.503
149,1,1469476019,9429.846
150,1,1469476020,9433.421
151,1,1469476022,9424.049
152,1,1469476023,9435.838
153,1,1469476025,9452.688
154,1,1469476026,9111.828
155,1,1469476028,7467.7266
156,1,1469476029,5944.225
157,1,1469476031,5739.5757
158,1,1469476032,5737.344
159,1,1469476034,5746.379
160,1,1469476035,5761.7417
161,1,1469476036,5747.3037
162,1,1469476038,5753.8745
163,1,1469476039,5764.6694
164,1,1469476041,5750.7246
165,1,1469476042,5760.915
166,1,1469476044,5724.7036
167,1,1469476045,4891.968
168,1,1469476047,3317.0015
169,1,1469476048,2640.6357
170,1,1469476050,2592.6465
171,1,1469476051,2599.0427
172,1,1469476052,2603.2766
173,1,1469476054,2604.1592
174,1,1469476055,2595.2512
175,1,1469476057,2616.7068
176,1,1469476058,2642.9763
177,1,1469476060,2646.7124
178,1,1469476061,2658.1726
179,1,1469476063,2767.6907
180,1,1469476064,4149.7114
181,1,1469476066,7354.4004
182,1,1469476067,10307.09
183,1,1469476069,11194.929
184,1,1469476070,11236.697
185,1,1469476071,11174.606
186,1,1469476073,9412.763
187,1,1469476074,4526.82
188,1,1469476076,1448.4707
189,1,1469476077,668.5786
190,1,1469476079,616.6774
191,1,1469476080,616.262
192,1,1469476082,617.6982
193,1,1469476083,618.4778
194,1,1469476085,618.9215
195,1,1469476086,619.80396
196,1,1469476087,620.4716
197,1,1469476089,621.30286
198,1,1469476090,622.3315
199,1,1469476092,636.2804
200,1,1469476093,988.3797
201,1,1469476095,1941.5228
202,1,1469476096,2407.4575
203,1,1469476098,2411.112
204,1,1469476099,2410.2598
205,1,1469476101,2412.1587
206,1,1469476102,2410.2986
207,1,1469476103,2411.7842
208,1,1469476105,2410.4639
209,1,1469476106,2414.5598
210,1,1469476108,2414.0796
211,1,1469476109,2413.8635
212,1,1469476111,2810.38
213,1,1469476112,4895.3516
214,1,1469476114,6915.2524
215,1,1469476115,7100.9893
216,1,1469476117,7093.5547
217,1,1469476118,7096.3306
218,1,1469476119,7093.203
219,1,1469476121,7079.9023
220,1,1469476122,7075.5776
221,1,1469476124,7080.4116
222,1,1469476125,7071.1475
223,1,1469476127,7071.014
224,1,1469476128,7220.0776
225,1,1469476130,9142.709
226,1,1469476131,11000.754
227,1,1469476133,11218.271
228,1,1469476134,11220.467
229,1,1469476136,11215.603
230,1,1469476137,11216.97
231,1,1469476138,11218.152
232,1,1469476140,11219.307
233,1,1469476141,11215.628
234,1,1469476143,11218.261
235,1,1469476144,11216.993
236,1,1469476146,11222.857
237,1,1469476147,11127.643
238,1,1469476149,9566.597
239,1,1469476150,7975.4653
240,1,1469476152,7902.63
241,1,1469476153,7907.7324
242,1,1469476154,7910.9077
243,1,1469476156,7913.603
244,1,1469476157,7932.9546
245,1,1469476159,7942.3027
246,1,1469476160,7947.4272
247,1,1469476162,7950.1245
248,1,1469476163,7971.0894
249,1,1469476165,7640.339
250,1,1469476166,5288.9697
251,1,1469476168,3179.9578
252,1,1469476169,2877.3093
253,1,1469476170,2879.8394
254,1,1469476172,2883.4492
255,1,1469476173,2887.2893
256,1,1469476175,2885.5208
257,1,1469476176,2886.821
258,1,1469476178,2882.34
259,1,1469476179,2889.6858
260,1,1469476181,2887.738
261,1,1469476182,2870.3005
262,1,1469476184,2115.4114
263,1,1469476185,1050.0681
264,1,1469476187,749.4999
265,1,1469476188,745.9046
266,1,1469476189,747.23706
267,1,1469476191,747.9131
268,1,1469476192,747.68274
269,1,1469476194,748.43884
270,1,1469476195,749.1206
271,1,1469476197,749.2096
272,1,1469476198,749.9272
273,1,1469476200,750.5703
274,1,1469476201,1000.8471
275,1,1469476203,2688.4766
276,1,1469476204,7233.9336
277,1,1469476205,10861.395
278,1,1469476207,11204.834
279,1,1469476208,11200.643
280,1,1469476210,11203.379
281,1,1469476211,11200.029
282,1,1469476213,11201.18
