#time_sec,time_ms,run,ls,nb,bcm1f_minus,bcm1f_plus
1465646572,116,274958,1,4,0.0967208594084,0.0500053651631
1465646573,535,274958,1,8,0.253749996424,0.212522745132
1465646574,992,274958,1,12,0.114357180893,0.152361378074
1465646576,449,274958,1,16,0.129149645567,0.110950343311
1465646577,906,274958,1,20,0.154752284288,0.150802269578
1465646579,363,274958,1,24,0.19343867898,0.0632918253541
1465646580,819,274958,1,28,0.187180370092,0.0898587554693
1465646582,314,274958,1,32,0.178079143167,0.111740767956
1465646583,734,274958,1,36,0.124029561877,0.146122530103
1465646585,190,274958,1,40,0.149063870311,0.0640750527382
1465646586,647,274958,1,44,0.141664996743,0.160190999508
1465646588,104,274958,1,48,0.171818599105,0.143781155348
1465646589,561,274958,1,52,0.172392502427,0.0945524945855
1465646591,18,274958,1,56,0.131997391582,0.137540265918
1465646592,513,274958,1,60,0.180358484387,0.130506962538
1465646593,932,274958,1,64,0.15305121243,0.110970109701
1465646595,389,274958,2,4,0.0853442549706,0.146919429302
1465646596,846,274958,2,8,0.198567643762,0.165675103664
1465646598,303,274958,2,12,0.154186680913,0.077369980514
1465646599,760,274958,2,16,0.105256594718,0.107067532837
1465646601,217,274958,2,20,0.197426527739,0.110193841159
1465646602,720,274958,2,24,0.14564448595,0.13051661849
1465646604,130,274958,2,28,0.150764793158,0.128172025084
1465646605,588,274958,2,32,0.143373012543,0.0906599834561
1465646607,45,274958,2,36,0.141097232699,0.0992570444942
1465646608,502,274958,2,40,0.17238843441,0.0859719365835
1465646609,958,274958,2,44,0.168409317732,0.0687792673707
1465646611,415,274958,2,48,0.219054341316,0.09222830832
1465646612,910,274958,2,52,0.0853458419442,0.108641825616
1465646614,329,274958,2,56,0.170122519135,0.0406446233392
1465646615,786,274958,2,60,0.176952764392,0.0836347937584
1465646617,243,274958,2,64,0.135417222977,0.147728741169
1465646618,699,274958,3,4,0.183778941631,0.130530133843
1465646620,157,274958,3,8,0.266279369593,0.0664413198829
1465646621,614,274958,3,12,0.198573589325,0.116468690336
1465646623,110,274958,3,16,0.126882255077,0.143045440316
1465646624,528,274958,3,20,0.104692570865,0.23685079813
1465646625,984,274958,3,24,0.130296826363,0.0805164054036
1465646627,441,274958,3,28,0.187763988972,0.105531208217
1465646628,898,274958,3,32,0.267993181944,0.0766083970666
1465646630,355,274958,3,36,0.171828746796,0.174328461289
1465646631,812,274958,3,40,0.182639166713,0.126642167568
1465646633,307,274958,3,44,0.134281054139,0.0734855309129
1465646634,726,274958,3,48,0.101848766208,0.113355346024
1465646636,182,274958,3,52,0.17581628263,0.0766142830253
1465646637,639,274958,3,56,0.145660996437,0.149321690202
1465646639,96,274958,3,60,0.20199085772,0.12117729336
1465646640,553,274958,3,64,0.180947437882,0.0852158889174
1465646642,10,274958,4,4,0.178099930286,0.0711448267102
1465646643,505,274958,4,8,0.200860321522,0.164180368185
1465646644,924,274958,4,12,0.172413945198,0.159496426582
1465646646,381,274958,4,16,0.186639502645,0.143859520555
1465646647,837,274958,4,20,0.126321941614,0.125876456499
1465646649,295,274958,4,24,0.138843983412,0.0766236931086
1465646650,752,274958,4,28,0.194609209895,0.146210506558
1465646652,208,274958,4,32,0.149655327201,0.0930428206921
1465646653,704,274958,4,36,0.145672112703,0.144646421075
1465646655,123,274958,4,40,0.220786765218,0.105557501316
1465646656,579,274958,4,44,0.159329295158,0.163422226906
1465646658,36,274958,4,48,0.200868695974,0.0914851501584
1465646659,493,274958,4,52,0.15591403842,0.0703719034791
1465646660,950,274958,4,56,0.137705549598,0.0821044594049
1465646662,407,274958,4,60,0.198594748974,0.0750653222203
1465646663,902,274958,4,64,0.0950306281447,0.130588024855
1465646665,321,274958,5,4,0.142838418484,0.0594311207533
1465646666,777,274958,5,8,0.164463356137,0.130592063069
1465646668,235,274958,5,12,0.163324981928,0.139198377728
1465646669,691,274958,5,16,0.145114541054,0.118866041303
1465646671,149,274958,5,20,0.0865011289716,0.123559817672
1465646672,606,274958,5,24,0.165026143193,0.0586528852582
1465646674,100,274958,5,28,0.141694843769,0.083678111434
1465646675,521,274958,5,32,0.159898862243,0.120437346399
1465646676,977,274958,5,36,0.155345827341,0.0985447242856
1465646678,434,274958,5,40,0.182090371847,0.104801528156
1465646679,890,274958,5,44,0.149088293314,0.0883764326572
1465646681,347,274958,5,48,0.174695074558,0.0868122503161
1465646682,804,274958,5,52,0.151938915253,0.0891629308462
1465646684,308,274958,5,56,0.231610789895,0.147040992975
1465646685,717,274958,5,60,0.130885705352,0.108716495335
1465646687,174,274958,5,64,0.15364587307,0.262798935175
1465646688,632,274958,6,4,0.180965408683,0.0962065160275
1465646690,88,274958,6,8,0.113245636225,0.113414160907
1465646691,545,274958,6,12,0.169580370188,0.071179702878
1465646693,2,274958,6,16,0.140558227897,0.0852591991425
1465646694,497,274958,6,20,0.146816670895,0.16348195076
1465646695,916,274958,6,24,0.14340081811,0.105598278344
1465646697,373,274958,6,28,0.137141257524,0.0821319893003
1465646698,830,274958,6,32,0.161612585187,0.143149957061
1465646700,287,274958,6,36,0.152507632971,0.0883931517601
1465646701,744,274958,6,40,0.176976427436,0.107164561749
1465646703,201,274958,6,44,0.160468861461,0.112649530172
1465646704,696,274958,6,48,0.183799445629,0.121254689991
1465646706,114,274958,6,52,0.178111732006,0.130639657378
1465646707,571,274958,6,56,0.194043830037,0.12203772366
1465646709,29,274958,6,60,0.141691833735,0.157240912318
1465646710,485,274958,6,64,0.136003300548,0.125953689218
1465646711,944,274958,7,4,0.245830282569,0.100919425488
1465646713,399,274958,7,8,0.153072446585,0.192454218864
1465646714,894,274958,7,12,0.154782384634,0.0649359896779
1465646716,313,274958,7,16,0.199737519026,0.111095294356
1465646717,770,274958,7,20,0.23729288578,0.134568318725
1465646719,226,274958,7,24,0.132588118315,0.165863275528
1465646720,683,274958,7,28,0.223638370633,0.0586794354022
1465646722,140,274958,7,32,0.208267852664,0.122835852206
1465646723,597,274958,7,36,0.190060451627,0.127536639571
1465646725,92,274958,7,40,0.0876326709986,0.135361000896
1465646726,511,274958,7,44,0.128609597683,0.149447828531
1465646727,968,274958,7,48,0.154217690229,0.118932306767
1465646729,427,274958,7,52,0.163893565536,0.0884187892079
1465646730,883,274958,7,56,0.137714833021,0.0954653099179
1465646732,340,274958,7,60,0.149665296078,0.11502790451
1465646733,798,274958,7,64,0.126904711127,0.0719930380583
1465646735,291,274958,8,4,0.1695856601,0.111119680107
1465646736,709,274958,8,8,0.224789559841,0.113466359675
1465646738,166,274958,8,12,0.148527443409,0.0978196114302
1465646739,623,274958,8,16,0.194622159004,0.148685798049
1465646741,80,274958,8,20,0.134302169085,0.0586941502988
1465646742,537,274958,8,24,0.199746012688,0.104084290564
1465646743,994,274958,8,28,0.190069109201,0.08139038831
1465646745,489,274958,8,32,0.146253168583,0.127568095922
1465646746,908,274958,8,36,0.169016301632,0.142437979579
1465646748,365,274958,8,40,0.11154345423,0.102527484298
1465646749,822,274958,8,44,0.147396713495,0.138529524207
1465646751,281,274958,8,48,0.134310305119,0.141660034657
1465646752,735,274958,8,52,0.202026754618,0.0782698392868
1465646754,193,274958,8,56,0.156499624252,0.0900103151798
1465646755,687,274958,8,60,0.185527011752,0.0994050949812
1465646757,106,274958,8,64,0.159348353744,0.0900124832988
1465646758,563,274958,9,4,0.17698943615,0.0767081454396
1465646760,20,274958,9,8,0.186664089561,0.14402346313
1465646761,478,274958,9,12,0.17016145587,0.11741284281
1465646762,934,274958,9,16,0.200892940164,0.176119267941
1465646764,390,274958,9,20,0.108702391386,0.155772790313
1465646765,886,274958,9,24,0.191795557737,0.0868902429938
1465646767,305,274958,9,28,0.131468176842,0.187870815396
1465646768,762,274958,9,32,0.148542225361,0.0884574875236
1465646770,218,274958,9,36,0.15935562551,0.0908059179783
1465646771,675,274958,9,40,0.151389092207,0.135428279638
1465646773,133,274958,9,44,0.203749835491,0.113512121141
1465646774,589,274958,9,48,0.174724012613,0.0814155936241
1465646776,85,274958,9,52,0.154803112149,0.0767221003771
1465646777,503,274958,9,56,0.122932486236,0.103342726827
1465646778,960,274958,9,60,0.1434212327,0.188678726554
1465646780,417,274958,9,64,0.167896583676,0.0931641757488
1465646781,874,274958,10,4,0.150253206491,0.105690449476
1465646783,331,274958,10,8,0.238465845585,0.167546987534
