#time_sec,time_ms,run,ls,nb,plt_bkg_A1,plt_bkg_A2,plt_bkg_B1,plt_bkg_B2
1465646572,184,274958,1,4,3.51864724337e-16,4.23563448033e-16,2.86494966809e-16,4.49122161839e-16
1465646573,640,274958,1,8,2.87897132271e-16,1.62909018474e-16,1.43247483404e-16,1.30386196117e-16
1465646575,98,274958,1,12,2.23914672447e-16,3.25825468698e-16,7.95826042568e-17,2.60777217737e-16
1465646576,554,274958,1,16,9.59634310488e-17,5.53897726576e-16,1.43248687662e-16,2.89751677882e-16
1465646578,11,274958,1,20,2.55915572563e-16,3.58397149659e-16,7.95840878289e-17,3.04230740758e-16
1465646579,468,274958,1,24,2.23927102561e-16,1.95485014058e-16,1.43251358092e-16,3.62178779348e-16
1465646580,925,274958,1,28,2.55927228979e-16,3.90994846029e-16,1.11425271945e-16,1.15897038919e-16
1465646582,382,274958,1,32,2.55945909053e-16,9.77458085624e-17,9.55031666364e-17,1.88338831256e-16
1465646583,839,274958,1,36,1.91948127176e-16,4.23553927833e-16,1.43260347896e-16,2.02821830347e-16
1465646585,296,274958,1,40,2.23953836982e-16,1.3032772338e-16,1.9101748843e-16,1.59364432142e-16
1465646586,753,274958,1,44,1.919525619e-16,1.95500106746e-16,6.36711448155e-17,1.73850326439e-16
1465646588,209,274958,1,48,1.91957011251e-16,4.88720423427e-16,2.38773879532e-16,2.75262582297e-16
1465646589,666,274958,1,52,4.15914671323e-16,2.93232254056e-16,1.43268215437e-16,2.46287573634e-16
1465646591,123,274958,1,56,2.87962265848e-16,1.95504039188e-16,1.75116656743e-16,2.8975827527e-16
1465646592,580,274958,1,60,9.59874219495e-17,2.28069478578e-16,1.75112768761e-16,1.73850719205e-16
1465646594,37,274958,1,64,2.87964897092e-16,1.30329363751e-16,3.02482370286e-16,1.30393978775e-16
1465646595,494,274958,2,4,2.87972711502e-16,3.58413707904e-16,1.27356086028e-16,3.04244360961e-16
1465646596,951,274958,2,8,2.23975383857e-16,1.62908038679e-16,1.43275459115e-16,1.88340714886e-16
1465646598,408,274958,2,12,1.59984641104e-16,1.95484626863e-16,1.27357873523e-16,2.31802123274e-16
1465646599,865,274958,2,16,1.27993330832e-16,1.95486358996e-16,7.96003914287e-17,2.1731702899e-16
1465646601,322,274958,2,20,1.91989886596e-16,3.58394354842e-16,2.54721771614e-16,3.04237839395e-16
1465646602,778,274958,2,24,2.87991653688e-16,2.60645102447e-16,2.22882600159e-16,1.73849163531e-16
1465646604,235,274958,2,28,1.27997872872e-16,2.60640760306e-16,6.36820865036e-17,2.89739167926e-16
1465646605,692,274958,2,32,2.56006019751e-16,2.28058305219e-16,1.27364933521e-16,2.02819101138e-16
1465646607,149,274958,2,36,1.60004410336e-16,1.30317562375e-16,1.59214458048e-16,3.0423403444e-16
1465646608,606,274958,2,40,1.28003528269e-16,2.9322247221e-16,1.11451287153e-16,1.01417241816e-16
1465646610,63,274958,2,44,1.28005672621e-16,2.93223478663e-16,9.55287249679e-17,1.59362097605e-16
1465646611,520,274958,2,48,2.56019160951e-16,2.28062705627e-16,1.59214541613e-16,1.73849561024e-16
1465646612,977,274958,2,52,2.88025790496e-16,3.90992717594e-16,1.27373811772e-16,1.59368209156e-16
1465646614,434,274958,2,56,2.24024719917e-16,6.51608892775e-17,1.27389445385e-16,1.73856890435e-16
1465646615,891,274958,2,60,3.20062264705e-16,2.6065453664e-16,2.22917060605e-16,2.6079109874e-16
1465646617,348,274958,2,64,3.5206214435e-16,3.25812192441e-16,2.06992455789e-16,2.60791401687e-16
1465646618,804,274958,3,4,3.52071731808e-16,3.25817100362e-16,2.86602928717e-16,2.75273692222e-16
1465646620,261,274958,3,8,2.560526831e-16,2.28066108506e-16,1.4331163091e-16,2.46300185137e-16
1465646621,718,274958,3,12,2.88059268487e-16,2.93235811022e-16,2.07000071799e-16,1.1590430434e-16
1465646623,175,274958,3,16,2.2405829305e-16,2.93234958129e-16,1.11468790363e-16,2.31812012144e-16
1465646624,632,274958,3,20,2.88082765603e-16,9.7744986043e-17,2.22929802702e-16,2.02846126026e-16
1465646626,89,274958,3,24,1.60048333257e-16,4.23547649791e-16,2.22937486228e-16,2.75280480855e-16
1465646627,546,274958,3,28,3.2011230196e-16,3.90967061346e-16,1.1147263226e-16,3.04257001106e-16
1465646629,3,274958,3,32,1.28047098018e-16,4.23553854099e-16,1.43321660408e-16,2.60791509059e-16
1465646630,460,274958,3,36,2.8810597054e-16,1.62902268067e-16,1.7517480755e-16,2.607879706e-16
1465646631,917,274958,3,40,2.24089609686e-16,2.93220236343e-16,1.1147290032e-16,2.17322711489e-16
