Timestamp (UNIX_TIME),VGPB.220.1L5.X.PR,VGPB.220.1R5.X.PR,VGPB.7.4L5.X.PR,VGPB.7.4R5.X.PR,VPIAN.904.4L5.B.PR,VPIAN.904.4R5.R.PR
1465646407303000,,,,,,8.329436695930781E-9
1465646409297000,,,,9.699999831136452E-11,,
1465646453303000,,3.100000034450545E-9,,,,
1465646454457000,2.7999999541172826E-10,,,,,
1465646474843000,,,,,,8.329436695930781E-9
1465646479296000,,,,9.699999831136452E-11,,
1465646503339000,,,7.900000098537419E-11,,,
1465646514301000,,3.100000034450545E-9,,,,
1465646519299000,,2.7000000013543968E-9,,,,
1465646522301000,,3.000000026176508E-9,,,,
1465646537339000,2.8999999623913197E-10,,,,,
1465646543297000,,,,9.699999831136452E-11,,
1465646549297000,,2.5999999930803597E-9,,,,
1465646552303000,,3.000000026176508E-9,,,,
1465646559302000,,,,,,7.375792421271399E-9
1465646564340000,,,7.999999968033578E-11,,,
1465646594335000,,,,,9.896583996749087E-9,
1465646605338000,2.8999999623913197E-10,,,,,
1465646606301000,,,,9.699999831136452E-11,,
1465646624301000,,3.000000026176508E-9,,,,
1465646630335000,,,7.999999968033578E-11,,,
1465646657933000,,,,,,7.418924585778086E-9
1465646669300000,,,,9.799999700632611E-11,,
1465646671342000,2.7999999541172826E-10,,,,,
1465646685300000,,3.100000034450545E-9,,,,
1465646708655000,,,,,8.881077206979171E-9,
1465646719297000,,2.7000000013543968E-9,,,,
1465646725302000,,3.100000034450545E-9,,,,
1465646731295000,,,,9.799999700632611E-11,,
1465646732337000,2.8999999623913197E-10,,,,,
1465646739073000,,,7.900000098537419E-11,,,
1465646772341000,,,,,1.0020989371639644E-8,
1465646792338000,2.8999999623913197E-10,,,,,
1465646795302000,,,,9.799999700632611E-11,,
1465646820351000,,2.800000009628434E-9,,,,
1465646840819000,,,,,1.0020989371639644E-8,
1465646853337000,2.7999999541172826E-10,,,,,
1465646879302000,,,,9.599999961640293E-11,,
1465646900340000,,,7.80000022904126E-11,,,
1465646907295000,,,,,,8.191843647864516E-9
1465646915336000,2.7999999541172826E-10,,,,,
1465646970347000,,,7.80000022904126E-11,,,
1465646972304000,,,,9.599999961640293E-11,,
1465646972944000,,,,,,8.191843647864516E-9
1465646985346000,2.8999999623913197E-10,,,,,
1465647034338000,,,7.80000022904126E-11,,,
1465647035300000,,,,9.599999961640293E-11,,
1465647041303000,,2.900000017902471E-9,,,,
1465647049338000,2.8999999623913197E-10,,,,,
1465647074297000,,2.5999999930803597E-9,,,,
1465647098302000,,,,9.699999831136452E-11,,
1465647102339000,,,7.80000022904126E-11,,,
1465647115339000,2.8999999623913197E-10,,,,,
1465647134300000,,2.7000000013543968E-9,,,,
1465647162302000,,,,9.599999961640293E-11,,
1465647163300000,,,,,,9.060378225456134E-9
1465647178346000,2.8999999623913197E-10,,,,,
1465647187339000,,,7.900000098537419E-11,,,
1465647194304000,,2.5999999930803597E-9,,,,
1465647223300000,,,,9.599999961640293E-11,,
1465647237111000,,,,,,8.151008756840383E-9
1465647240347000,2.8999999623913197E-10,,,,,
1465647250343000,,,,,1.1278996403518704E-8,
1465647259307000,,2.7000000013543968E-9,,,,
1465647263349000,,,7.900000098537419E-11,,,
1465647285295000,,,,9.699999831136452E-11,,
1465647300304000,,,,,,7.229834952937608E-9
1465647302340000,2.7999999541172826E-10,,,,,
1465647320297000,,2.7000000013543968E-9,,,,
1465647327334000,,,7.7000003595451E-11,,,
1465647346294000,,,,9.500000092144134E-11,,
1465647368340000,2.8999999623913197E-10,,,,,
1465647369018000,,,,,9.987663140975656E-9,
1465647369019000,,,,,,7.229834952937608E-9
1465647383302000,,2.7000000013543968E-9,,,,
1465647389377000,,,7.80000022904126E-11,,,
