fill|start_time|start_stable_beam|end_stable_beam|end_time|wloopTS|slinkTS
3599|20150319.124717|20150319.160637|20150320.112141|20150324.160357||
3819|20150603.065329|20150603.084030|20150603.150206|20150603.151456|20150603.065331 20150603.072955 20150603.091223 20150603.091535 20150603.091700 20150603.091835 20150603.092954 20150603.093857 20150603.095000 20150603.100404 20150603.100730 20150603.100935 20150603.101148 20150603.101358 20150603.101533 20150603.101955 20150603.102214 20150603.102500 20150603.103054 20150603.103349 20150603.135535 20150603.135803 20150603.140326 20150603.140942 20150603.141142 20150603.141434 20150603.141943 20150603.142224 20150603.142712 20150603.143357 20150603.144650|20150603.092033 20150603.093024 20150603.093928 20150603.095039 20150603.135722
3820|20150603.151456|20150603.183154|20150603.234321|20150603.235700|20150603.163012|
3824|20150604.173030|20150604.213058|20150605.043601|20150605.044942||
3829|20150605.211724|20150606.102241|20150606.162202|20150606.164833|20150606.103331|20150606.102517
3833|20150607.045157|20150607.075619|20150607.140013|20150607.140832|20150607.111829|20150607.103521 20150607.111544
3835|20150607.171045|20150607.193257|20150608.012244|20150608.013203|20150607.191828 20150607.192912 20150607.193831|20150607.193750
3846|20150609.193532|20150609.221223|20150610.000546|20150610.001653||
3847|20150610.001653|20150610.033531|20150610.055048|20150610.060745||
3848|20150610.060745|20150610.105828|20150610.140641|20150610.141512||
3850|20150610.175247|20150610.200238|20150610.224819|20150610.225919|20150610.182323 20150610.222015|20150610.221832
3851|20150610.225919|20150611.025950|20150611.141313|20150611.142659||20150611.130328
3855|20150612.141330|20150612.201730|20150613.102205|20150613.103147|20150612.203346 20150612.205835|20150612.205800 20150613.021001
3857|20150613.135410|20150613.171158|20150614.040012|20150614.041009||
3858|20150614.041009|20150614.063340|20150614.152540|20150614.153430||
3960|20150704.171001|20150704.220705|20150705.010250|20150705.011824|20150704.180944|
3962|20150705.025037|20150705.043751|20150705.132711|20150705.133647|20150705.081704|20150705.081651 20150705.081651
3965|20150705.201604|20150705.225236|20150706.002930|20150706.010102||
3971|20150707.002253|20150707.021037|20150707.045348|20150707.051009|20150707.031024 20150707.032947 20150707.033508 20150707.034620 20150707.040113 20150707.040320 20150707.040534 20150707.040801 20150707.041032 20150707.041426 20150707.042101 20150707.042444 20150707.042905 20150707.043104 20150707.043327 20150707.043615 20150707.044006 20150707.044436 20150707.044751|20150707.031908 20150707.032047 20150707.032452 20150707.032759 20150707.033232 20150707.034501
3974|20150707.190407|20150707.202809|20150708.035211|20150708.035211|20150707.200304 20150707.222500 20150707.222710 20150707.224253 20150707.232358|20150707.213642 20150707.222651 20150707.223428 20150707.223525 20150707.224212
3976|20150708.111820|20150708.165825|20150709.021950|20150709.022922|20150708.171638|
3981|20150710.150539|20150710.172114|20150711.003805|20150711.005944||
3983|20150711.070840|20150711.114556|20150711.120546|20150711.122203|20150711.110823|
3986|20150711.181255|20150711.200730|20150711.202009|20150711.203016|20150711.193816|
3988|20150712.001853|20150712.032128|20150712.091423|20150712.092331|20150712.025045|
3992|20150713.034544|20150713.072838|20150713.124631|20150713.131720|20150713.065439 20150713.093335 20150713.093402|
3996|20150713.222304|20150714.071335|20150714.111416|20150714.113244|20150714.065707|
4001|20150714.214808|20150715.020640|20150715.020752|20150715.022317|20150715.013337 20150715.013513|
4006|20150715.161643|20150715.175026|20150715.180046|20150715.181616|20150715.173326|
4008|20150715.210205|20150716.015059|20150716.042101|20150716.043926|20150716.015124|
4019|20150719.233512|20150720.015757|20150720.022640|20150720.023639|20150720.012722|
4020|20150720.023639|20150720.044348|20150720.052509|20150720.055318|20150720.041612|
4201|20150813.011116|20150813.033551|20150813.061537|20150813.064119|20150813.030540|20150813.033604
4205|20150813.133759|20150813.182855|20150814.042441|20150814.043404|20150813.180233 20150813.184711 20150813.185221 20150813.185811 20150813.191748 20150813.194301 20150813.194659 20150813.203938 20150813.204312 20150813.210523|20150813.182857
4207|20150814.070546|20150814.100505|20150814.142554|20150814.144545|20150814.092400|20150814.100510
4208|20150814.144545|20150814.174323|20150814.225650|20150814.234652|20150814.170951|20150814.174340
4210|20150815.064905|20150815.095435|20150815.110823|20150815.111811|20150815.092606 20150815.100514 20150815.101541 20150815.102459 20150815.103033 20150815.104741 20150815.105005 20150815.105226 20150815.105243 20150815.105439 20150815.105459|20150815.095451
4211|20150815.111811|20150815.141036|20150815.160555|20150815.162042|20150815.113838 20150815.133756|20150815.141038
4212|20150815.162042|20150815.190457|20150815.200809|20150815.202436|20150815.183706|20150815.190503
4214|20150815.234001|20150816.021601|20150816.072140|20150816.074555|20150816.014952|20150816.021605
4219|20150816.134023|20150816.163901|20150816.164208|20150816.165216|20150816.140933 20150816.151557 20150816.160754 20150816.161407 20150816.161629 20150816.161909 20150816.162222|20150816.163916
4220|20150816.165216|20150816.201448|20150817.063053|20150817.065440|20150816.193654|20150816.201457
4224|20150817.204426|20150817.233357|20150817.233658|20150818.000626|20150817.225946|20150817.233400
4225|20150818.000626|20150818.060548|20150818.082605|20150818.084400|20150818.053251|20150818.060603
4231|20150819.011244|20150819.041127|20150819.093213|20150819.094148|20150819.033401|20150819.041143 20150819.041143
4243|20150821.022038|20150821.052242|20150821.095411|20150821.100209|20150821.044507|20150821.052246
4246|20150821.180146|20150821.205950|20150822.072345|20150822.073551|20150821.202835|20150821.210006 20150821.210006
4249|20150822.114245|20150822.134459|20150822.140515|20150822.142020|20150822.131849 20150822.131901|20150822.135239
4254|20150823.003048|20150823.033320|20150823.040937|20150823.042052|20150823.030636 20150823.030639 20150823.030647 20150823.030658|
4256|20150823.122045|20150823.145935|20150823.171604|20150823.172448|20150823.143400 20150823.151844 20150823.155931 20150823.160049 20150823.160225 20150823.160345 20150823.160521 20150823.160656 20150823.160802 20150823.160907 20150823.161035 20150823.161211 20150823.161420 20150823.165524 20150823.165636 20150823.165746 20150823.165854 20150823.170003 20150823.170124 20150823.170256 20150823.170410 20150823.170527|20150823.150455
4257|20150823.172448|20150823.210123|20150823.212035|20150823.214044|20150823.184321 20150823.184756 20150823.185110 20150823.185152 20150823.192952 20150823.203525|20150823.210130
4266|20150824.182443|20150824.210625|20150825.055709|20150825.060557|20150824.194040 20150824.201047 20150824.211828 20150824.212908 20150824.213943 20150824.215024 20150824.220053 20150824.221122 20150825.012517|20150824.210632 20150824.211834 20150824.212914 20150824.213952 20150824.215029 20150824.220059 20150824.221135 20150825.003211
4268|20150825.091007|20150825.112242|20150825.112824|20150825.113838|20150825.104546|20150825.112251
4269|20150825.113838|20150825.142535|20150826.033642|20150826.035443|20150825.134953|20150825.142543
4322|20150906.173624|20150906.191013|20150906.215146|20150906.220242|20150906.182730|20150906.191017
4323|20150906.220242|20150907.005307|20150907.065653|20150907.070755|20150907.002153|20150907.005311
4332|20150908.061139|20150908.091227|20150908.175144|20150908.180034|20150908.084220|20150908.091230
4337|20150909.040844|20150909.070334|20150909.140627|20150909.141503|20150909.063420|20150909.070341
4341|20150909.194701|20150909.215652|20150910.000051|20150910.002725|20150909.212144|20150909.215701
4342|20150910.002725|20150910.045626|20150910.052241|20150910.053049|20150910.041911|20150910.045628
4349|20150911.140443|20150911.162817|20150912.061217|20150912.061920|20150911.155719|20150911.162826 20150911.162826
4356|20150913.001851|20150913.030643|20150913.044532|20150913.045445|20150913.022307|20150913.030657
4360|20150913.143339|20150913.164226|20150913.210749|20150913.211622|20150913.160157|20150913.164231
4363|20150914.012913|20150914.045711|20150914.122408|20150914.124259|20150914.042239|20150914.045720
4364|20150914.124259|20150914.163250|20150915.030855|20150915.031809|20150914.155849|20150914.163252
4376|20150916.094439|20150916.121947|20150916.122942|20150916.123856|20150916.115229|20150916.121949
4381|20150916.214111|20150917.014448|20150917.130635|20150917.131652|20150917.011029|20150917.014450
4384|20150917.175409|20150917.201926|20150918.095206|20150918.100213|20150917.194604|20150917.201939 20150918.095134
4386|20150918.123639|20150918.155853|20150918.171430|20150918.172525|20150918.152417|20150918.155901
4391|20150919.015507|20150919.065652|20150919.154210|20150919.155138|20150919.055651 20150919.155027 20150919.155112|20150919.065702
4393|20150919.193611|20150919.220137|20150920.022115|20150920.023421|20150919.213654|20150919.220141
4397|20150920.165307|20150920.190808|20150920.192128|20150920.223304|20150920.182645|20150920.190812
4398|20150920.223304|20150921.024052|20150921.092418|20150921.095537|20150921.021228|20150921.024103
4402|20150921.164354|20150921.190020|20150922.064115|20150922.070157|20150921.194307 20150921.202406 20150921.202932 20150921.231701|20150921.190026
4410|20150923.223149|20150924.021316|20150924.162113|20150924.162932|20150923.231228 20150923.233938 20150924.014321|20150924.021319 20150924.021319
4418|20150925.015945|20150925.055013|20150925.061147|20150925.061958|20150925.051851|20150925.055015
4420|20150925.080935|20150925.114839|20150925.230216|20150925.231319|20150925.112319 20150925.210451|20150925.114840
4423|20150926.062041|20150926.093616|20150926.103132|20150926.104247|20150926.090536|20150926.093620
4426|20150926.183802|20150926.214622|20150926.221727|20150926.223454|20150926.211758|20150926.214623
4428|20150927.015719|20150927.042552|20150927.125835|20150927.131930|20150927.035744|20150927.042553
4432|20150927.210719|20150927.232555|20150928.062158|20150928.063805|20150927.225828|20150927.232557 20150927.232557
4434|20150928.080757|20150928.115821|20150928.140121|20150928.141038|20150928.112910|20150928.115829
4435|20150928.141038|20150928.171748|20150928.221345|20150928.222242|20150928.164653 20150928.185251 20150928.185348 20150928.185904|20150928.171757 20150928.190256
4437|20150929.015903|20150929.045057|20150929.075409|20150929.082530|20150929.042337|20150929.045058
4440|20150929.111512|20150929.125733|20150930.073825|20150930.083920|20150929.122520|20150929.125735 20150929.125735 20150930.064425
4444|20150930.192944|20150930.234115|20151001.053043|20151001.060557|20150930.230657 20150930.230833|20150930.234122 20150930.234122
4448|20151002.055530|20151002.095542|20151002.110139|20151002.113108|20151002.092513|20151002.095543
4449|20151002.113108|20151002.140452|20151003.052436|20151003.055302|20151002.133521|20151002.140454
4452|20151003.165914|20151003.184008|20151004.100931|20151004.101948|20151003.181253 20151003.213041|20151003.184009
4455|20151004.131800|20151004.165322|20151004.201018|20151004.203409|20151004.162427|20151004.165324
4462|20151005.140426|20151005.154341|20151005.165554|20151005.171629|20151005.151428|20151005.154343
4463|20151005.171629|20151005.201334|20151006.004013|20151006.010925|20151005.194906|20151005.201335
4464|20151006.010925|20151006.050641|20151006.051706|20151006.053051|20151006.044120|20151006.050650
4466|20151006.112109|20151006.135819|20151006.155715|20151006.161617|20151006.132938|20151006.135825
4467|20151006.161617|20151006.184851|20151007.173855|20151007.192025|20151006.182228|20151006.184854 20151006.184854
4476|20151009.081949|20151009.111859|20151009.133446|20151009.140247|20151009.104909|
4477|20151009.140247|20151009.195425|20151009.210420|20151009.212103|20151009.192748|
4479|20151009.215359|20151010.073025|20151010.233239|20151010.234645|20151010.070210|
4485|20151011.113933|20151011.151129|20151012.032458|20151012.040013|20151011.144450 20151011.205226|
4495|20151014.230303|20151015.031346|20151015.070833|20151015.071823|20151015.021416|
4496|20151015.071823|20151015.115556|20151015.143439|20151015.144531|20151015.110407|
4499|20151015.173748|20151015.212628|20151016.013618|20151016.014547|20151015.174315 20151015.202342|
4505|20151016.181647|20151016.203903|20151016.231357|20151016.235418|20151016.194651|
4509|20151017.033834|20151017.071750|20151017.160114|20151017.161716|20151017.062225|
4510|20151017.161716|20151017.195225|20151017.230331|20151017.232144|20151017.185414|
4511|20151017.232144|20151018.054844|20151018.091936|20151018.093152|20151018.044840|
4513|20151018.134919|20151018.202355|20151018.212434|20151018.213253|20151018.165723|20151018.202356 20151018.205114
4518|20151020.024316|20151020.042101|20151020.073328|20151020.074431|20151020.033757|20151020.042109 20151020.042109 20151020.065217
4519|20151020.074431|20151020.103624|20151020.132115|20151020.132731|20151020.101222 20151020.115906|
4522|20151021.000958|20151021.020904|20151021.095331|20151021.101544|20151021.013904|20151021.020904 20151021.020904
4525|20151021.183333|20151021.214828|20151022.000236|20151022.001152|20151021.211254|20151021.214829
4528|20151022.214339|20151023.011854|20151023.111115|20151023.112124|20151023.005148 20151023.073342|20151023.011856
4530|20151023.141122|20151023.215533|20151024.023345|20151024.023808|20151023.213010|20151023.215538
4532|20151024.130009|20151024.163042|20151024.184847|20151024.190409|20151024.155659|20151024.163050
