Time,Channel,ROC,NFiducial,NFiducialAndHit,Efficiency
77387307,2,0,11438,9931,0.868246
77387307,2,1,11229,9189,0.818328
77387307,2,2,10871,9646,0.887315
77387307,4,0,11869,10945,0.92215
77387307,4,1,12816,11122,0.867821
77387307,4,2,11948,10887,0.911199
77387307,5,0,11152,10344,0.927547
77387307,5,1,11861,10410,0.877666
77387307,5,2,10596,9753,0.920442
77387307,7,0,10473,9734,0.929438
77387307,7,1,11843,10441,0.881618
77387307,7,2,10526,9696,0.921148
77387307,8,0,11896,10555,0.887273
77387307,8,1,14228,11965,0.840947
77387307,8,2,13011,11820,0.908462
77387307,10,0,12296,11134,0.905498
77387307,10,1,13319,11402,0.85607
77387307,10,2,13430,11662,0.868354
77387307,11,0,13255,11932,0.900189
77387307,11,1,13387,11388,0.850676
77387307,11,2,12961,11761,0.907415
77387307,13,0,11953,11136,0.931649
77387307,13,1,12371,10895,0.880689
77387307,13,2,12065,11249,0.932366
77387307,14,0,12101,10762,0.889348
77387307,14,1,12629,10937,0.866023
77387307,14,2,12086,10887,0.900794
77387307,16,0,13239,12047,0.909963
77387307,16,1,13591,11601,0.85358
77387307,16,2,13680,12452,0.910234
77387307,17,0,12065,11123,0.921923
77387307,17,1,13781,11929,0.865612
77387307,17,2,13113,11427,0.871425
77387307,19,0,12744,11567,0.907643
77387307,19,1,13653,11624,0.851388
77387307,19,2,12755,11670,0.914935
77387307,20,0,12008,11009,0.916805
77387307,20,1,13290,11520,0.866817
77387307,20,2,12243,11158,0.911378
