Time,Channel,ROC,NFiducial,NFiducialAndHit,Efficiency
77387307,2,0,14466,11063,0.764759
77387307,2,1,14569,10299,0.706912
77387307,2,2,14118,10688,0.757048
77387307,4,0,15072,12382,0.821523
77387307,4,1,16022,12531,0.782112
77387307,4,2,15187,12249,0.806545
77387307,5,0,14203,11818,0.832078
77387307,5,1,14909,11890,0.797505
77387307,5,2,13649,11199,0.8205
77387307,7,0,13148,11071,0.842029
77387307,7,1,14779,11859,0.802422
77387307,7,2,13479,11077,0.821797
77387307,8,0,15149,12000,0.792131
77387307,8,1,17980,13589,0.755784
77387307,8,2,16509,13259,0.803138
77387307,10,0,15756,12551,0.796585
77387307,10,1,16941,12790,0.754973
77387307,10,2,17055,13126,0.769628
77387307,11,0,16552,13256,0.80087
77387307,11,1,16812,12654,0.752677
77387307,11,2,16331,13000,0.796032
77387307,13,0,15040,12656,0.841489
77387307,13,1,15407,12381,0.803596
77387307,13,2,15120,12649,0.836574
77387307,14,0,15408,12220,0.793095
77387307,14,1,15880,12294,0.774181
77387307,14,2,15169,12130,0.799657
77387307,16,0,16759,13415,0.800465
77387307,16,1,17358,12929,0.744844
77387307,16,2,17487,13861,0.792646
77387307,17,0,15466,12785,0.826652
77387307,17,1,17144,13317,0.776773
77387307,17,2,16152,12591,0.779532
77387307,19,0,16160,13075,0.809097
77387307,19,1,17145,13008,0.758705
77387307,19,2,16067,13099,0.815274
77387307,20,0,15009,12393,0.825705
77387307,20,1,16612,12949,0.779497
77387307,20,2,15486,12487,0.806341
