#Data tag : 19v3 , Norm tag: None
#run:fill,ls,time,beamstatus,E(GeV),delivered(hz/ub),recorded(hz/ub),avgpu,source
274954:5005,36:36,1465638028,STABLE BEAMS,6500,2465.243257490,1296.844451690,29.8,PLTZERO
274954:5005,37:37,1465638051,STABLE BEAMS,6500,2499.538549909,302.912401327,30.2,PLTZERO
274954:5005,38:38,1465638075,STABLE BEAMS,6500,2497.514797858,0,30.2,PLTZERO
274954:5005,39:39,1465638098,STABLE BEAMS,6500,2496.149913806,1353.066116208,30.1,PLTZERO
274954:5005,40:40,1465638121,STABLE BEAMS,6500,2495.364724391,2280.170845034,30.1,PLTZERO
274954:5005,41:41,1465638145,STABLE BEAMS,6500,2494.049768436,2262.345686868,30.1,PLTZERO
274954:5005,42:42,1465638168,STABLE BEAMS,6500,2492.751622673,2231.764263100,30.1,PLTZERO
274954:5005,43:43,1465638191,STABLE BEAMS,6500,2492.160258552,2245.777322091,30.1,PLTZERO
274954:5005,44:44,1465638215,STABLE BEAMS,6500,2486.737453351,2240.405727424,30.0,PLTZERO
274954:5005,45:45,1465638238,STABLE BEAMS,6500,2487.400530494,2238.806695779,30.0,PLTZERO
274954:5005,46:46,1465638261,STABLE BEAMS,6500,2472.977787706,2218.428172694,29.9,PLTZERO
274954:5005,47:47,1465638285,STABLE BEAMS,6500,2461.990236179,2240.858516492,29.7,PLTZERO
274954:5005,48:48,1465638308,STABLE BEAMS,6500,2463.998436054,2240.013001115,29.8,PLTZERO
274954:5005,49:49,1465638331,STABLE BEAMS,6500,2472.352434934,2252.603739269,29.9,PLTZERO
274954:5005,50:50,1465638354,STABLE BEAMS,6500,2476.068015739,2255.913340586,29.9,PLTZERO
274954:5005,51:51,1465638378,STABLE BEAMS,6500,2472.718949966,2220.910063948,29.9,PLTZERO
274954:5005,52:52,1465638401,STABLE BEAMS,6500,2466.685569961,2227.990206399,29.8,PLTZERO
274954:5005,53:53,1465638424,STABLE BEAMS,6500,2456.220971842,2236.177857022,29.7,PLTZERO
274954:5005,54:54,1465638448,STABLE BEAMS,6500,2462.096108716,2206.409740144,29.7,PLTZERO
274954:5005,55:55,1465638471,STABLE BEAMS,6500,2469.187321603,2178.293237753,29.8,PLTZERO
274954:5005,56:56,1465638494,STABLE BEAMS,6500,2467.220609358,2240.050156053,29.8,PLTZERO
274954:5005,57:57,1465638518,STABLE BEAMS,6500,2459.663350522,1558.373198557,29.7,PLTZERO
274954:5005,58:0,1465638541,STABLE BEAMS,6500,2444.581046015,0,29.5,PLTZERO
274954:5005,59:0,1465638564,STABLE BEAMS,6500,2002.011351350,0,24.2,PLTZERO
274954:5005,60:0,1465638588,STABLE BEAMS,6500,1186.895627427,0,14.3,PLTZERO
274954:5005,61:0,1465638611,STABLE BEAMS,6500,2049.407125347,0,24.8,PLTZERO
274954:5005,62:0,1465638634,STABLE BEAMS,6500,2407.745362670,0,29.1,PLTZERO
274954:5005,63:0,1465638657,STABLE BEAMS,6500,1957.868452993,0,23.6,PLTZERO
